"filename", "language", "JSON with Comments", "PHP", "reStructuredText", "C++", "YAML", "JSON", "C", "Markdown", "XML", "CSS", "SQL", "JavaScript", "HTML", "comment", "blank", "total"
"c:\Users\29032\Desktop\daershang\database\phpMyAdmin4.8.5\libraries\classes\MultSubmits.php", "PHP", 0, -482, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -98, -49, -629
"c:\Users\29032\Desktop\daershang\database\phpMyAdmin4.8.5\libraries\classes\Navigation\Navigation.php", "PHP", 0, -172, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -62, -16, -250
"c:\Users\29032\Desktop\daershang\database\phpMyAdmin4.8.5\libraries\classes\Navigation\NavigationHeader.php", "PHP", 0, -201, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -41, -14, -256
"c:\Users\29032\Desktop\daershang\database\phpMyAdmin4.8.5\libraries\classes\Navigation\NavigationTree.php", "PHP", 0, -1220, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -250, -91, -1561
"c:\Users\29032\Desktop\daershang\database\phpMyAdmin4.8.5\libraries\classes\Navigation\NodeFactory.php", "PHP", 0, -45, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -39, -8, -92
"c:\Users\29032\Desktop\daershang\database\phpMyAdmin4.8.5\libraries\classes\Navigation\Nodes\Node.php", "PHP", 0, -534, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -227, -76, -837
"c:\Users\29032\Desktop\daershang\database\phpMyAdmin4.8.5\libraries\classes\Navigation\Nodes\NodeColumn.php", "PHP", 0, -20, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -19, -3, -42
"c:\Users\29032\Desktop\daershang\database\phpMyAdmin4.8.5\libraries\classes\Navigation\Nodes\NodeColumnContainer.php", "PHP", 0, -36, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -14, -4, -54
"c:\Users\29032\Desktop\daershang\database\phpMyAdmin4.8.5\libraries\classes\Navigation\Nodes\NodeDatabase.php", "PHP", 0, -473, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -204, -39, -716
"c:\Users\29032\Desktop\daershang\database\phpMyAdmin4.8.5\libraries\classes\Navigation\Nodes\NodeDatabaseChild.php", "PHP", 0, -31, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -23, -7, -61
"c:\Users\29032\Desktop\daershang\database\phpMyAdmin4.8.5\libraries\classes\Navigation\Nodes\NodeDatabaseChildContainer.php", "PHP", 0, -19, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -22, -3, -44
"c:\Users\29032\Desktop\daershang\database\phpMyAdmin4.8.5\libraries\classes\Navigation\Nodes\NodeDatabaseContainer.php", "PHP", 0, -28, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -16, -5, -49
"c:\Users\29032\Desktop\daershang\database\phpMyAdmin4.8.5\libraries\classes\Navigation\Nodes\NodeEvent.php", "PHP", 0, -22, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -24, -4, -50
"c:\Users\29032\Desktop\daershang\database\phpMyAdmin4.8.5\libraries\classes\Navigation\Nodes\NodeEventContainer.php", "PHP", 0, -33, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -14, -4, -51
"c:\Users\29032\Desktop\daershang\database\phpMyAdmin4.8.5\libraries\classes\Navigation\Nodes\NodeFunction.php", "PHP", 0, -24, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -24, -4, -52
"c:\Users\29032\Desktop\daershang\database\phpMyAdmin4.8.5\libraries\classes\Navigation\Nodes\NodeFunctionContainer.php", "PHP", 0, -34, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -14, -4, -52
"c:\Users\29032\Desktop\daershang\database\phpMyAdmin4.8.5\libraries\classes\Navigation\Nodes\NodeIndex.php", "PHP", 0, -18, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -19, -3, -40
"c:\Users\29032\Desktop\daershang\database\phpMyAdmin4.8.5\libraries\classes\Navigation\Nodes\NodeIndexContainer.php", "PHP", 0, -36, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -14, -4, -54
"c:\Users\29032\Desktop\daershang\database\phpMyAdmin4.8.5\libraries\classes\Navigation\Nodes\NodeProcedure.php", "PHP", 0, -24, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -24, -4, -52
"c:\Users\29032\Desktop\daershang\database\phpMyAdmin4.8.5\libraries\classes\Navigation\Nodes\NodeProcedureContainer.php", "PHP", 0, -34, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -14, -4, -52
"c:\Users\29032\Desktop\daershang\database\phpMyAdmin4.8.5\libraries\classes\Navigation\Nodes\NodeTable.php", "PHP", 0, -235, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -54, -17, -306
"c:\Users\29032\Desktop\daershang\database\phpMyAdmin4.8.5\libraries\classes\Navigation\Nodes\NodeTableContainer.php", "PHP", 0, -35, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -14, -4, -53
